round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
49,0.8236724976710486,0.3837153804170324,0.8223711340206186,0.8256909222647759,0.8240276845204276,0.8236777723730198,0.8236724976710486,0.8236717793032051,7938,1723,1684,7977,0.8256909222647759,0.8216540730773212,0.8236724976710486,0.9086794641418297,0.9077042630510813,19322,FedAdam,balanced,1,0.3,1,428956419
50,0.8238795155780975,0.38354904061793976,0.8225108225108225,0.8260014491253493,0.8242524402210402,0.8238853488853488,0.8238795155780976,0.8238787225740852,7939,1722,1681,7980,0.8260014491253493,0.8217575820308457,0.8238795155780976,0.908690146102979,0.907585828937159,19322,FedAdam,balanced,1,0.3,1,428956419
51,0.8236207431942864,0.3833853616620337,0.8228854693793246,0.8247593416830555,0.8238213399503722,0.823622421379153,0.8236207431942864,0.8236205145347716,7946,1715,1693,7968,0.8247593416830555,0.8224821447055171,0.8236207431942864,0.9087112528867948,0.9074774119396631,19322,FedAdam,balanced,1,0.3,1,428956419
52,0.8236724976710486,0.3832836449970855,0.8237730378960447,0.8235172342407618,0.823645116206843,0.8236725288817972,0.8236724976710486,0.8236724934203685,7959,1702,1705,7956,0.8235172342407618,0.8238277611013353,0.8236724976710486,0.9087294561485727,0.9073825437705825,19322,FedAdam,balanced,1,0.3,1,428956419
53,0.8240865334851465,0.38327351188148784,0.8255354543564151,0.8218610909843701,0.8236941750090773,0.8240929538888424,0.8240865334851464,0.8240856622527958,7983,1678,1721,7940,0.8218610909843701,0.8263119759859228,0.8240865334851464,0.9087213348581502,0.907268747410602,19322,FedAdam,balanced,1,0.3,1,428956419
54,0.8246558327295311,0.38342216271375734,0.8279828505699048,0.8195838940068316,0.8237619642114025,0.8246892426842761,0.8246558327295311,0.8246513219615199,8016,1645,1743,7918,0.8195838940068316,0.8297277714522306,0.8246558327295311,0.9086783713032768,0.9071057151426573,19322,FedAdam,balanced,1,0.3,1,428956419
55,0.8244488148224821,0.3835584689323136,0.8275681889434633,0.819687402960356,0.8236089443577743,0.8244782398628934,0.8244488148224821,0.824444834803797,8011,1650,1742,7919,0.819687402960356,0.8292102266846082,0.8244488148224821,0.9085971155426381,0.9069205458572861,19322,FedAdam,balanced,1,0.3,1,428956419
56,0.8243453058689577,0.38370489488712584,0.8268488578283092,0.8205154745885519,0.823669991687448,0.8243643364642317,0.8243453058689576,0.824342729397034,8001,1660,1734,7927,0.8205154745885519,0.8281751371493634,0.8243453058689576,0.9084901995042135,0.9067128278433583,19322,FedAdam,balanced,1,0.3,1,428956419
57,0.8243970603457199,0.3838696225810636,0.8262544243181345,0.8215505641237967,0.8238957803498209,0.824407574448075,0.8243970603457199,0.8243956375042184,7992,1669,1724,7937,0.8215505641237967,0.8272435565676431,0.8243970603457199,0.9083906333407621,0.9065694954944726,19322,FedAdam,balanced,1,0.3,1,428956419
58,0.8245523237760066,0.38400976509960594,0.82428379356707,0.8249663595901046,0.8246249353336782,0.8245525463225385,0.8245523237760066,0.8245522936997686,7962,1699,1691,7970,0.8249663595901046,0.8241382879619087,0.8245523237760066,0.9082960385213162,0.9064694249289469,19322,FedAdam,balanced,1,0.3,1,428956419
59,0.8246040782527688,0.38414251830586904,0.822235922729141,0.8282786461028879,0.82524622286392,0.824621610999607,0.8246040782527688,0.824601709946323,7931,1730,1659,8002,0.8282786461028879,0.8209295104026498,0.8246040782527688,0.9082286575246579,0.9064350394833601,19322,FedAdam,balanced,1,0.3,1,428956419
60,0.8248110961598178,0.3843014760303046,0.8209901800327333,0.8307628609874754,0.8258476102279159,0.8248571264714264,0.8248110961598178,0.824804890135044,7911,1750,1635,8026,0.8307628609874754,0.8188593313321603,0.8248110961598178,0.9081731156123226,0.9064128457034946,19322,FedAdam,balanced,1,0.3,1,428956419
